,Order,PID,LotArea,LotShape,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSFOne,TotalBsmtSF,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YrSold,SalePrice,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_nan,Street_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSa,LotConfig_FRThree,LotConfig_FRTwo,LotConfig_Inside,BldgType_Duplex,BldgType_OneFam,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_OnePointFiveUnf,HouseStyle_OneStory,HouseStyle_SFoyer,HouseStyle_SLvl,HouseStyle_TwoPointFiveFin,HouseStyle_TwoPointFiveUnf,HouseStyle_TwoStory,RoofStyle_Gable,RoofStyle_Gambr,RoofStyle_Hip,RoofStyle_Mansa,RoofStyle_Shed,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_TarGrv,RoofMatl_WdShake,RoofMatl_WdShngl,ExteriorFirst_AsphShn,ExteriorFirst_BrkComm,ExteriorFirst_BrkFace,ExteriorFirst_CemntBd,ExteriorFirst_HdBoard,ExteriorFirst_ImStucc,ExteriorFirst_MetalSd,ExteriorFirst_Plywood,ExteriorFirst_PreCast,ExteriorFirst_Stucco,ExteriorFirst_VinylSd,ExteriorFirst_WdSdng,ExteriorFirst_WdShing,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y
18,1741,528222090,7697,4,7,6,2007,2007,5,4,2,0,1246,1258,0,0,1258,0,0,2,0,3,1,4,6,0,2,462,0,0,2007,173500,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
19,568,533210020,3000,4,6,5,2009,2009,5,4,4,294,612,612,612,0,1224,0,0,2,1,2,1,4,4,0,2,528,0,234,2009,173733,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
20,2814,907418020,8846,4,6,5,2005,2006,5,4,2,0,750,750,750,0,1500,0,0,2,1,3,1,4,6,0,2,564,0,35,2006,173900,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
21,2416,528221010,11660,3,6,5,2006,2006,5,4,4,0,1326,1326,0,0,1326,0,0,2,0,3,1,4,6,0,2,427,100,0,2006,174190,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
22,1736,528222030,8993,3,7,5,2007,2007,5,4,4,0,1302,1302,0,0,1302,0,0,2,0,3,1,4,6,0,2,436,0,22,2007,176485,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
23,1424,906378190,10616,3,7,5,2007,2007,5,4,2,0,628,628,728,0,1356,0,0,2,1,3,1,4,6,1,2,484,100,24,2008,177439,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
24,1740,528222080,7713,4,7,5,2007,2007,5,4,2,0,728,728,728,0,1456,0,0,2,1,3,1,4,7,0,2,400,100,24,2007,177594,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25,2161,907410020,8145,3,7,5,2007,2007,5,4,2,0,738,738,738,0,1476,0,0,2,1,3,1,4,7,0,2,552,0,35,2007,179400,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
26,1735,528221090,9018,3,7,5,2007,2007,5,4,4,0,728,728,728,0,1456,0,0,2,1,3,1,4,8,1,2,400,100,24,2007,179540,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
27,2414,528218130,17104,3,7,5,2006,2006,5,5,4,554,654,664,832,0,1496,1,0,2,1,3,1,4,7,1,2,426,100,24,2006,179665,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28,317,916386020,9803,4,7,5,2009,2010,5,4,2,0,1214,1214,0,0,1214,0,0,2,0,2,1,4,6,0,2,520,0,25,2010,179781,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
29,1737,528222040,8899,3,7,5,2007,2007,5,4,4,24,1340,1340,0,0,1340,0,0,2,0,3,1,4,6,0,2,396,100,30,2007,181134,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30,1123,528462040,11639,4,7,5,2007,2008,5,4,2,0,1428,1428,0,0,1428,0,0,2,0,3,1,4,6,0,2,480,0,120,2008,182000,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,2468,528488110,7200,4,6,5,2006,2006,5,4,2,905,1262,1262,0,0,1262,0,0,2,0,2,1,4,5,0,2,572,0,120,2006,185000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32,2419,528222020,9073,3,7,5,2006,2006,5,4,2,0,738,738,754,0,1492,0,0,2,1,3,1,4,8,0,2,440,100,32,2006,185101,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33,1745,528228555,3710,4,7,5,2007,2007,5,4,4,0,1266,1266,0,0,1266,0,0,2,0,2,1,4,6,1,2,388,100,16,2007,185485,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34,2465,528480100,8125,4,7,5,2005,2006,5,4,2,0,756,756,797,0,1553,0,0,2,1,3,1,4,6,0,2,615,0,45,2006,186500,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35,2472,531367010,11024,3,7,5,2005,2006,5,4,4,0,1400,1400,0,0,1400,0,0,2,0,3,1,4,6,0,2,612,144,55,2006,186800,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36,1085,528228540,3710,4,7,5,2007,2008,5,4,5,0,1146,1246,0,0,1246,0,0,2,0,2,1,4,5,1,2,428,100,24,2008,187687,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
37,2470,528488130,7200,4,7,5,2006,2006,5,5,2,0,1293,1301,0,0,1301,1,0,2,0,2,1,4,5,1,2,572,216,121,2006,187750,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38,1837,533206070,3784,3,8,5,2006,2007,5,4,2,60,1511,1565,0,0,1565,1,0,2,0,2,1,4,5,0,2,476,0,120,2007,193800,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
39,2754,906380180,6762,4,7,5,2006,2006,5,5,4,0,1286,1294,0,0,1294,0,0,2,0,2,1,4,6,1,2,662,168,55,2006,193879,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40,1839,533208020,3606,4,7,5,2006,2007,6,5,2,937,1352,1352,0,0,1352,1,0,2,0,2,1,4,5,1,2,466,0,241,2007,194000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
41,2753,906380170,7406,4,7,5,2006,2006,5,4,4,684,1199,1220,0,0,1220,1,0,2,0,2,1,4,6,0,2,632,105,54,2006,194000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
42,1743,528228275,3922,4,7,5,2006,2007,6,4,4,0,1258,1402,0,0,1402,0,2,0,2,2,1,4,7,1,3,648,120,16,2007,194201,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
43,2108,906380200,6762,4,7,5,2007,2007,5,4,2,664,1208,1208,0,0,1208,1,0,2,0,2,1,4,6,0,2,628,105,54,2007,195400,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
44,2467,528480150,8125,4,7,5,2006,2006,5,5,2,0,770,778,798,0,1576,0,0,2,1,3,1,4,6,0,2,614,0,50,2006,197000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
45,2813,907414040,8772,4,7,5,2005,2006,5,4,3,996,1336,1336,0,0,1336,1,0,2,0,3,1,4,6,0,2,502,136,43,2006,198000,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
46,1733,528221040,9729,3,6,5,2006,2007,5,4,2,0,698,698,1048,0,1746,1,0,2,1,3,1,4,6,1,3,350,0,34,2007,198444,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
47,2461,528456200,8640,4,8,5,2006,2006,5,4,2,24,1278,1278,0,0,1278,0,0,2,0,2,1,4,5,0,2,584,0,60,2006,198600,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
48,1841,533208040,4274,3,7,5,2006,2007,5,4,2,1106,1241,1241,0,0,1241,1,0,1,1,1,1,4,4,0,2,569,0,116,2007,199900,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
49,2102,906380010,11175,3,7,5,2007,2007,5,4,4,0,1316,1316,0,0,1316,0,0,2,0,3,1,4,6,1,2,440,0,20,2007,200141,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
50,2406,528181030,6955,3,7,5,2005,2006,5,4,2,0,1368,1368,0,0,1368,0,0,2,0,2,1,4,6,1,2,474,132,35,2006,202500,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
51,2407,528181040,6792,3,7,5,2005,2006,5,4,2,0,1368,1368,0,0,1368,0,0,2,0,2,1,4,6,1,2,474,132,35,2006,202665,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
52,2105,906380120,8814,4,7,5,2005,2007,5,4,2,925,1274,1274,0,0,1274,1,0,2,0,3,1,4,6,0,2,508,264,98,2007,203000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
53,2809,907410040,8581,3,7,5,2006,2006,5,5,3,0,851,851,886,0,1737,0,0,2,1,3,1,4,7,0,2,578,0,105,2006,203160,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
54,1717,528174020,3901,4,6,5,2005,2006,5,4,4,866,1302,1302,0,0,1302,1,0,1,1,1,1,4,5,1,2,631,110,50,2007,204000,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
55,68,528456160,9215,4,7,5,2009,2010,5,4,2,0,1218,1218,0,0,1218,0,0,2,0,2,1,4,4,0,2,676,0,136,2010,204500,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
56,2756,906382040,8990,3,7,5,2006,2006,5,4,3,0,1498,1498,0,0,1498,0,0,2,0,2,1,4,5,0,2,675,351,33,2006,204900,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57,1750,528235170,10936,3,7,5,2006,2006,5,4,4,0,1510,1525,0,0,1525,0,0,2,1,3,1,4,6,1,2,534,100,18,2007,206580,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
58,1840,533208030,5330,2,8,5,2006,2007,5,4,2,0,1550,1550,0,0,1550,0,0,2,1,2,1,4,5,0,2,528,0,102,2007,207500,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
59,517,528456240,7862,3,6,5,2009,2009,5,4,2,27,1218,1218,0,0,1218,0,0,2,0,2,1,4,4,0,2,676,0,102,2009,208300,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
60,1794,528456190,8640,4,8,5,2007,2007,5,4,2,24,1338,1338,0,0,1338,0,0,2,0,3,1,4,6,0,2,598,0,141,2007,208900,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
61,1838,533208010,4230,4,7,5,2006,2007,6,5,2,0,1352,1352,0,0,1352,0,0,2,0,2,1,4,5,1,2,466,0,241,2007,208900,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
62,2761,906394010,10984,3,7,5,2005,2006,5,4,5,0,945,945,864,0,1809,0,0,2,1,3,1,4,8,0,2,638,144,54,2006,209700,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
