Order,PID,LotArea,Street,LotShape,LandContour,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExteriorFirst,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSFOne,TotalBsmtSF,Heating,CentralAir,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,YrSold,SalePrice
2465,528480100,8125,Pave,Reg,Lvl,Inside,OneFam,TwoStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,756,GasA,Y,756,797,0,1553,0,0,2,1,3,1,Gd,6,0,Attchd,2,615,0,45,2006,186500
2472,531367010,11024,Pave,IR1,Lvl,Corner,OneFam,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1400,GasA,Y,1400,0,0,1400,0,0,2,0,3,1,Gd,6,0,Attchd,2,612,144,55,2006,186800
1085,528228540,3710,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2007,2008,Gable,CompShg,WdShing,PConc,Gd,TA,Gd,0,1146,GasA,Y,1246,0,0,1246,0,0,2,0,2,1,Gd,5,1,Attchd,2,428,100,24,2008,187687
2470,528488130,7200,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,No,0,1293,GasA,Y,1301,0,0,1301,1,0,2,0,2,1,Gd,5,1,Attchd,2,572,216,121,2006,187750
1837,533206070,3784,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,8,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,60,1511,GasA,Y,1565,0,0,1565,1,0,2,0,2,1,Gd,5,0,Attchd,2,476,0,120,2007,193800
2754,906380180,6762,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,Av,0,1286,GasA,Y,1294,0,0,1294,0,0,2,0,2,1,Gd,6,1,Attchd,2,662,168,55,2006,193879
1839,533208020,3606,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,7,5,2006,2007,Gable,CompShg,VinylSd,PConc,Ex,Gd,No,937,1352,GasA,Y,1352,0,0,1352,1,0,2,0,2,1,Gd,5,1,Attchd,2,466,0,241,2007,194000
2753,906380170,7406,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,684,1199,GasA,Y,1220,0,0,1220,1,0,2,0,2,1,Gd,6,0,Attchd,2,632,105,54,2006,194000
1743,528228275,3922,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,7,5,2006,2007,Gable,CompShg,VinylSd,PConc,Ex,TA,Av,0,1258,GasA,Y,1402,0,0,1402,0,2,0,2,2,1,Gd,7,1,Attchd,3,648,120,16,2007,194201
2108,906380200,6762,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,664,1208,GasA,Y,1208,0,0,1208,1,0,2,0,2,1,Gd,6,0,Attchd,2,628,105,54,2007,195400
2467,528480150,8125,Pave,Reg,Lvl,Inside,OneFam,TwoStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,No,0,770,GasA,Y,778,798,0,1576,0,0,2,1,3,1,Gd,6,0,Attchd,2,614,0,50,2006,197000
2813,907414040,8772,Pave,Reg,Lvl,FRTwo,OneFam,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Mn,996,1336,GasA,Y,1336,0,0,1336,1,0,2,0,3,1,Gd,6,0,Attchd,2,502,136,43,2006,198000
1733,528221040,9729,Pave,IR1,Lvl,Inside,OneFam,TwoStory,6,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,698,GasA,Y,698,1048,0,1746,1,0,2,1,3,1,Gd,6,1,BuiltIn,3,350,0,34,2007,198444
2461,528456200,8640,Pave,Reg,Lvl,Inside,OneFam,OneStory,8,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,24,1278,GasA,Y,1278,0,0,1278,0,0,2,0,2,1,Gd,5,0,Attchd,2,584,0,60,2006,198600
1841,533208040,4274,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,7,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,1106,1241,GasA,Y,1241,0,0,1241,1,0,1,1,1,1,Gd,4,0,Attchd,2,569,0,116,2007,199900
2102,906380010,11175,Pave,IR1,Lvl,Corner,OneFam,OneStory,7,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1316,GasA,Y,1316,0,0,1316,0,0,2,0,3,1,Gd,6,1,Attchd,2,440,0,20,2007,200141
2406,528181030,6955,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1368,GasA,Y,1368,0,0,1368,0,0,2,0,2,1,Gd,6,1,Attchd,2,474,132,35,2006,202500
2407,528181040,6792,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1368,GasA,Y,1368,0,0,1368,0,0,2,0,2,1,Gd,6,1,Attchd,2,474,132,35,2006,202665
2105,906380120,8814,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2005,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,925,1274,GasA,Y,1274,0,0,1274,1,0,2,0,3,1,Gd,6,0,Attchd,2,508,264,98,2007,203000
2809,907410040,8581,Pave,IR1,Lvl,Inside,OneFam,TwoStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,Mn,0,851,GasA,Y,851,886,0,1737,0,0,2,1,3,1,Gd,7,0,Attchd,2,578,0,105,2006,203160
1717,528174020,3901,Pave,Reg,Lvl,Inside,Twnhs,OneStory,6,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,866,1302,GasA,Y,1302,0,0,1302,1,0,1,1,1,1,Gd,5,1,Attchd,2,631,110,50,2007,204000
68,528456160,9215,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2009,2010,Hip,CompShg,VinylSd,PConc,Gd,TA,No,0,1218,GasA,Y,1218,0,0,1218,0,0,2,0,2,1,Gd,4,0,Attchd,2,676,0,136,2010,204500
2756,906382040,8990,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Mn,0,1498,GasA,Y,1498,0,0,1498,0,0,2,0,2,1,Gd,5,0,Attchd,2,675,351,33,2006,204900
1750,528235170,10936,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1510,GasA,Y,1525,0,0,1525,0,0,2,1,3,1,Gd,6,1,Attchd,2,534,100,18,2007,206580
1840,533208030,5330,Pave,IR2,Lvl,Inside,TwnhsE,OneStory,8,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1550,GasA,Y,1550,0,0,1550,0,0,2,1,2,1,Gd,5,0,Attchd,2,528,0,102,2007,207500
517,528456240,7862,Pave,IR1,Lvl,Inside,OneFam,OneStory,6,5,2009,2009,Gable,CompShg,VinylSd,PConc,Gd,TA,No,27,1218,GasA,Y,1218,0,0,1218,0,0,2,0,2,1,Gd,4,0,Attchd,2,676,0,102,2009,208300
1794,528456190,8640,Pave,Reg,Lvl,Inside,OneFam,OneStory,8,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,24,1338,GasA,Y,1338,0,0,1338,0,0,2,0,3,1,Gd,6,0,Attchd,2,598,0,141,2007,208900
1838,533208010,4230,Pave,Reg,Lvl,Corner,TwnhsE,OneStory,7,5,2006,2007,Gable,CompShg,VinylSd,PConc,Ex,Gd,No,0,1352,GasA,Y,1352,0,0,1352,0,0,2,0,2,1,Gd,5,1,Attchd,2,466,0,241,2007,208900
2761,906394010,10984,Pave,IR1,Lvl,Corner,OneFam,TwoStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Gd,0,945,GasA,Y,945,864,0,1809,0,0,2,1,3,1,Gd,8,0,Attchd,2,638,144,54,2006,209700
2420,528228280,3087,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,453,1220,GasA,Y,1364,0,0,1364,1,0,2,0,2,1,Gd,6,1,Attchd,2,437,100,16,2006,210250
1795,528456230,9000,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1335,GasA,Y,1335,0,0,1335,0,0,2,0,3,1,Gd,6,0,Attchd,2,575,0,210,2007,210400
1797,528458090,10411,Pave,Reg,Lvl,Corner,OneFam,TwoStory,5,5,2007,2007,Gable,CompShg,VinylSd,CBlock,Gd,TA,,0,725,GasA,Y,725,863,0,1588,0,0,3,0,3,1,Gd,8,0,Attchd,2,561,0,0,2007,212109
1121,528458030,8640,Pave,Reg,Lvl,Inside,OneFam,OneStory,8,5,2007,2008,Gable,CompShg,VinylSd,PConc,Gd,TA,No,24,1363,GasA,Y,1372,0,0,1372,0,0,2,0,3,1,Gd,6,0,Attchd,2,588,192,113,2008,212700
2811,907410110,10084,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,24,1552,GasA,Y,1552,0,0,1552,0,0,2,0,3,1,Gd,7,0,Attchd,3,782,144,20,2006,212900
1092,528253020,7301,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,7,6,2007,2008,Gable,CompShg,VinylSd,PConc,Gd,TA,No,876,1350,GasA,Y,1358,0,0,1358,1,0,2,0,2,1,Gd,6,1,Attchd,2,484,192,26,2008,217300
1579,916386180,12018,Pave,IR1,HLS,Corner,OneFam,TwoStory,7,5,2008,2008,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,796,GasA,Y,796,816,0,1612,0,0,2,1,3,1,Gd,6,0,Attchd,3,666,0,64,2008,218689
2415,528218140,14054,Pave,IR1,Lvl,Inside,OneFam,TwoStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,879,GasA,Y,879,984,0,1863,0,0,2,1,4,1,Gd,9,1,BuiltIn,3,660,100,17,2006,219210
41,528120100,12182,Pave,Reg,Lvl,Corner,OneFam,OneStory,7,5,2005,2005,Gable,CompShg,VinylSd,PConc,Gd,TA,Mn,1201,1541,GasA,Y,1541,0,0,1541,0,0,2,0,3,1,Gd,7,1,Attchd,2,532,0,70,2010,220000
1726,528186190,6240,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,8,5,2006,2006,Hip,CompShg,MetalSd,PConc,Gd,TA,No,24,1324,GasA,Y,1324,0,0,1324,0,0,2,0,2,1,Gd,6,1,Attchd,2,550,0,38,2007,221370
2755,906382030,11210,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,20,1614,GasA,Y,1614,0,0,1614,0,0,2,0,3,1,Gd,7,0,Attchd,3,865,144,59,2006,221500
100,533213030,4403,Pave,IR2,Lvl,Inside,OneFam,OneStory,7,5,2009,2009,Gable,CompShg,MetalSd,PConc,Ex,TA,Av,578,1470,GasA,Y,1478,0,0,1478,1,0,2,1,2,1,Gd,7,1,Attchd,2,484,0,144,2010,222000
569,533213010,3830,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,6,5,2008,2008,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1726,GasA,Y,1726,0,0,1726,0,0,2,1,2,1,Gd,6,1,Attchd,2,561,0,254,2009,222000
46,528175010,6371,Pave,IR1,Lvl,Inside,TwnhsE,OneStory,7,5,2009,2010,Gable,CompShg,VinylSd,PConc,Gd,TA,Mn,733,1358,GasA,Y,1358,0,0,1358,1,0,2,0,2,1,Gd,6,1,Attchd,2,484,192,35,2010,224000
543,531376090,7328,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2008,2009,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1450,GasA,Y,1450,0,0,1450,0,0,2,0,2,1,Gd,6,0,Attchd,3,788,0,93,2009,224243
959,916382010,13159,Pave,IR1,HLS,Corner,OneFam,TwoStory,7,5,2009,2009,Gable,CompShg,VinylSd,PConc,Ex,TA,Av,0,846,GasA,Y,846,846,0,1692,0,0,2,1,3,1,Gd,6,0,Attchd,2,650,208,114,2009,224500
518,528458020,7993,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2008,2009,Gable,CompShg,VinylSd,PConc,Ex,TA,No,0,1436,GasA,Y,1436,0,0,1436,0,0,2,0,3,1,Gd,6,0,Attchd,2,529,0,121,2009,225000
1789,528439050,9158,Pave,Reg,Lvl,Inside,OneFam,OneStory,8,5,2007,2007,Gable,CompShg,CemntBd,PConc,Gd,TA,Av,0,1496,GasA,Y,1496,0,0,1496,0,0,2,0,3,1,Gd,7,0,Attchd,2,474,168,130,2007,225000
1117,528431080,12274,Pave,IR1,Lvl,FRTwo,OneFam,OneStory,7,5,2008,2008,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1417,GasA,Y,1428,0,0,1428,0,0,2,0,3,1,Ex,6,0,Attchd,2,554,0,60,2008,227680
1802,528480020,10207,Pave,Reg,Lvl,Inside,OneFam,TwoStory,7,6,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,874,GasA,Y,874,887,0,1761,0,0,3,0,3,1,Gd,7,0,Attchd,2,578,144,105,2007,227875
519,528458040,8640,Pave,Reg,Lvl,Inside,OneFam,OneStory,8,5,2009,2009,Gable,CompShg,CemntBd,PConc,Gd,TA,Mn,936,1300,GasA,Y,1314,0,0,1314,1,0,2,0,3,1,Gd,6,0,Attchd,2,552,135,112,2009,229456
2751,906380110,11003,Pave,IR2,Lvl,Inside,OneFam,TwoStory,7,5,2005,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1308,GasA,Y,1308,568,0,1876,0,0,2,1,3,1,Gd,7,0,BuiltIn,3,848,0,40,2006,229800
945,911370500,3843,Pave,IR1,HLS,Inside,TwnhsE,OneStory,8,5,2007,2008,Hip,CompShg,CemntBd,PConc,Ex,TA,Gd,1476,1596,GasA,Y,1648,0,0,1648,1,1,2,0,2,1,Ex,5,1,Attchd,2,482,162,53,2009,230000
1130,528488140,7500,Pave,Reg,Lvl,Inside,OneFam,OneStory,7,5,2007,2008,Gable,CompShg,CemntBd,PConc,Gd,TA,No,902,1218,GasA,Y,1218,0,0,1218,1,0,2,0,2,1,Gd,6,0,Attchd,2,462,168,168,2008,230348
2260,916384050,8368,Pave,IR1,HLS,Inside,OneFam,OneStory,7,5,2006,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1689,GasA,Y,1689,0,0,1689,0,0,2,0,3,1,Gd,7,0,Attchd,2,433,100,39,2007,231713
2463,528477030,11216,Pave,Reg,Lvl,Inside,OneFam,OneStory,8,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,No,0,1489,GasA,Y,1489,0,0,1489,0,0,2,0,3,1,Gd,7,1,Attchd,2,776,0,140,2006,232600
447,528144020,9541,Pave,IR1,Lvl,Inside,OneFam,OneStory,7,5,2009,2009,Gable,CompShg,VinylSd,PConc,Gd,TA,No,0,1502,GasA,Y,1502,0,0,1502,0,0,2,0,3,1,Gd,7,0,Attchd,2,644,0,114,2009,233170
2805,907290260,15611,Pave,Reg,Lvl,Inside,OneFam,TwoStory,8,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1079,GasA,Y,1079,840,0,1919,0,0,2,1,3,1,Gd,8,1,Attchd,2,685,0,51,2006,233230
2758,906392090,13377,Pave,Reg,Lvl,Corner,OneFam,OneStory,6,5,2006,2006,Hip,CompShg,VinylSd,PConc,Gd,TA,No,1576,1836,GasA,Y,1846,0,0,1846,1,0,2,0,3,1,Gd,7,1,Attchd,2,495,0,32,2006,233555
2263,916384150,10991,Pave,IR1,HLS,Inside,OneFam,OneStory,8,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Gd,0,1571,GasA,Y,1571,0,0,1571,0,0,2,0,3,1,Gd,7,1,Attchd,3,722,100,36,2007,239000
2757,906382050,8760,Pave,Reg,Lvl,Inside,OneFam,TwoStory,7,5,2006,2006,Gable,CompShg,VinylSd,PConc,Gd,Gd,Mn,464,1391,GasA,Y,1391,571,0,1962,0,0,2,1,3,1,Gd,7,0,Attchd,3,868,0,90,2006,239799
2318,527108020,14859,Pave,IR1,HLS,CulDSa,OneFam,OneStory,7,5,2006,2006,Hip,CompShg,VinylSd,PConc,Gd,TA,No,0,1670,GasA,Y,1670,0,0,1670,0,0,2,0,3,1,Gd,7,1,Attchd,3,690,144,60,2006,240000
2103,906380040,10235,Pave,IR1,Lvl,Inside,OneFam,OneStory,8,5,2007,2007,Gable,CompShg,VinylSd,PConc,Gd,TA,Av,0,1643,GasA,Y,1651,0,0,1651,0,0,2,0,3,1,Gd,7,1,Attchd,3,870,192,64,2007,246500
2430,528228580,4045,Pave,Reg,Lvl,Inside,TwnhsE,OneStory,7,5,2006,2006,Hip,CompShg,VinylSd,PConc,Gd,TA,Av,1070,1356,GasA,Y,1500,0,0,1500,1,0,2,0,2,1,Gd,6,1,Attchd,3,648,161,20,2006,246578
